concept;feature
apple;is eaten_edible
apple;is healthy
apple;is juicy
apple;is crunchy
apple;is sweet
apple;has vitamins
apple;is sour_sharp_acidic
apple;does fall
apple;has flesh
apple;is shiny
apple;does come in colours
apple;does make cider
apple;has fibre
apple;has varieties
apple;is food
apple;is one of your five a day
apple;is refreshing
apple;is small
apple;is used in pies
apricot;is a fruit
apricot;has a stone
apricot;is orange
apricot;is dried
apricot;is eaten_edible
apricot;is sweet
apricot;does grow on trees
apricot;has skin_peel
apricot;does grow
apricot;is small
apricot;is tasty
apricot;is yellow
apricot;is furry
apricot;is juicy
apricot;is soft
apricot;is used to make jam
apricot;does grow in hot countries
apricot;is circular_round
apricot;is eaten as dessert
apricot;has edible skin
apricot;has fibre
apricot;has flesh
apricot;is edible dried
apron;made of fabric_cloth_material
apron;does protect
apron;is used in cooking
apron;is worn
apron;has strings
apron;does protect clothes
apron;made of plastic
apron;has pockets
apron;is found in kitchens
apron;does tie
apron;is clothing
apron;does keep clean
apron;has a neck strap
apron;is patterned
apron;made of cotton
apron;does protect from spills
apron;does tie around back
apron;has a front
apron;has a picture_pictures
apron;is for women_females_girls
apron;is used by cooks_chefs
apron;does cover
apron;is colourful
apron;is dirty
apron;is worn over clothes
apron;does cover body
apron;does prevent mess
apron;has a pocket at the front
apron;has a strap_straps
apron;has strings around waist
apron;is long
apron;is striped
apron;is useful
arm;has a hand
arm;made of bones
arm;is a body part
arm;has muscles
arm;has an elbow
arm;has skin
arm;is a limb
arm;has blood
arm;is long
arm;has a shoulder
arm;has flesh
arm;is useful
arm;does lift
arm;does come in pairs
arm;has hair
arm;has joints
arm;is strong
arm;does allow movement
arm;does bend
arm;has a wrist
arm;has fat
arm;has veins
arm;is found on humans
arm;made of flesh and bones
arm;does move
arm;is flexible
arm;is joined to body
arm;is necessary_essential
arm;is thin
arm;made of tissue
arm;does carry
arm;does join shoulder to hand
arm;does manipulate
arm;has fingers
arm;has ligaments
arm;has three major bones
arm;is muscular
arm;is robotic
arm;is seen in primates
arm;is short
arm;is skin coloured
arm;is used to dance
arm;made of cells
arm;made of metal
arm;made of nerves
arm;made of tendons
armchair;is comfortable
armchair;has arms
armchair;has cushions
armchair;is sat on
armchair;made of fabric_cloth_material
armchair;made of wood
armchair;has a back
armchair;is big_large
armchair;is soft
armchair;has legs
armchair;is furniture
armchair;is in the living room
armchair;is relaxing
armchair;is a chair
armchair;has a seat_seats
armchair;has padding
armchair;is heavy
armchair;has four legs
armchair;is cosy
armchair;is for one person
armchair;made of leather
armchair;made of metal
armchair;has springs
armchair;is a seat
armchair;is by the fire
armchair;is for reading
armchair;does recline
armchair;has a cover
armchair;has a throw
armchair;has feet
armchair;has two arms
armchair;is associated with old people
armchair;is bulky
armchair;is colourful
armchair;is cushioned
armchair;is for napping
armchair;is for watching TV
armchair;is found in homes_houses
armchair;is manmade
armchair;is squashy_squidgy_squishy
armchair;is upholstered
armchair;is warm
armchair;made of foam
armchair;made of plastic
armour;does protect
armour;made of metal
armour;is heavy
armour;is strong
armour;is worn
armour;is used in battle_war
armour;does stop bullets
armour;is associated with knights
armour;is hard
armour;made of parts
armour;does stop swords
armour;is old fashioned
armour;is shiny
armour;made of chainmail
armour;has a breastplate
armour;made of Kevlar
armour;has a helmet
armour;is used by soldiers
armour;does protect against weapons
armour;does protect the body
armour;has joints
armour;is ancient_medieval
armour;is clothing
armour;is expensive
armour;is for nobles
armour;is silver
armour;made of leather
arrow;is used with a bow
arrow;has a point
arrow;is sharp
arrow;made of metal
arrow;is a weapon
arrow;made of wood
arrow;is long
arrow;is fired
arrow;does kill
arrow;is used to give directions
arrow;is dangerous
arrow;has feathers
arrow;is thin
arrow;does point
arrow;does fly
arrow;does hurt
arrow;has a head
arrow;is old fashioned
arrow;does fly through the air
arrow;is aerodynamic_streamlined
arrow;is aimed at targets
arrow;is used in archery
arrow;does kill animals
arrow;has a shaft
arrow;is a projectile
arrow;is aimed
arrow;is light
arrow;is straight
arrow;made of flint
arrow;does pierce
arrow;is a symbol
arrow;is a toy
arrow;is manmade
arrow;is strong
arrow;is used for hunting
arrow;is used in battle_war
artichoke;is a vegetable
artichoke;is green
artichoke;is eaten_edible
artichoke;is used in cooking
artichoke;is tasty
artichoke;has a heart
artichoke;has leaves
artichoke;has a stalk_stem
artichoke;is food
artichoke;is grown
artichoke;does grow
artichoke;has layers
artichoke;is healthy
artichoke;has flowers
artichoke;is a plant
artichoke;is circular_round
artichoke;is eaten in salad
artichoke;is expensive
artichoke;is hard
artichoke;is purple
artichoke;is sold_bought in supermarkets_shops
artichoke;made of plant matter
artichoke;does need water
artichoke;does reproduce
artichoke;has a distinctive taste
artichoke;has fibre
artichoke;has petals
artichoke;has roots
artichoke;has seeds
artichoke;is a thistle
artichoke;is alive
artichoke;is boiled
artichoke;is disgusting_taste bad
artichoke;is natural
artichoke;is small
artichoke;is spiky
artichoke;is used in pizza
artichoke;made of cells
ashtray;made of glass
ashtray;does hold ash
ashtray;is used for cigarettes
ashtray;made of metal
ashtray;does contain_hold
ashtray;does smell_is smelly
ashtray;is dirty
ashtray;is for smokers
ashtray;is found in pubs
ashtray;made of plastic
ashtray;is circular_round
ashtray;has cigarette rests
ashtray;is heavy
ashtray;made of ceramic_china_clay_porcelain
ashtray;is found on tables
ashtray;is not flammable
ashtray;has a base
ashtray;is found on pub tables
ashtray;is rectangular_square
ashtray;is small
ashtray;is solid
ashtray;is useful
ashtray;made of stone
asparagus;is a vegetable
asparagus;is green
asparagus;has a stalk_stem
asparagus;is long
asparagus;is thin
asparagus;is tasty
asparagus;does grow
asparagus;is eaten_edible
asparagus;does grow in ground
asparagus;is healthy
asparagus;does affect urine
asparagus;is a plant
asparagus;is expensive
asparagus;has a tip
asparagus;is long and thin
asparagus;is served with butter
asparagus;is associated with summer
asparagus;is boiled
asparagus;is food
asparagus;is found in Britain_UK_England
asparagus;is grown
asparagus;is seasonal
asparagus;is soft when cooked
asparagus;is used in cooking
asparagus;does smell_is smelly
asparagus;has a bumpy stalk
asparagus;has a head
asparagus;has leaves
asparagus;is an aphrodisiac
asparagus;is hard
asparagus;made of cells
aspirin;is a pill
aspirin;does stop pain
aspirin;is a drug
aspirin;is white
aspirin;is small
aspirin;is a painkiller
aspirin;is medicine
aspirin;does cure headache
aspirin;made of chemicals
aspirin;does thin blood
aspirin;is circular_round
aspirin;is swallowed
aspirin;is anti-inflammatory
aspirin;is dangerous
aspirin;is dissolved in water
aspirin;does cause stomach ulcers
aspirin;has side effects
aspirin;is absorbed into the stomach
aspirin;is taken with water
aspirin;is useful
aspirin;made of acid
aspirin;made of willow
aspirin;does cause bleeding
aspirin;is a COX inhibitor
aspirin;is bought at the chemist
aspirin;is for minor pains
aspirin;is hard
aspirin;is over the counter
aspirin;is overdosed
aspirin;is prescribed
aspirin;is sold_bought
aspirin;made of salycilic acid
aubergine;is a vegetable
aubergine;is purple
aubergine;has skin_peel
aubergine;is used in cooking
aubergine;has pips_seeds
aubergine;is eaten_edible
aubergine;has a stalk_stem
aubergine;is shiny
aubergine;does grow
aubergine;has white flesh
aubergine;is an eggplant
aubergine;is green
aubergine;is long
aubergine;is tasty
aubergine;is used in moussaka
aubergine;does grow on plants
aubergine;has flesh
aubergine;has soft flesh
aubergine;is big_large
aubergine;is food
aubergine;does grow in ground
aubergine;has a green stalk
aubergine;has smooth skin
aubergine;is black
aubergine;is disgusting_taste bad
aubergine;is healthy
aubergine;is used in stews
aubergine;is a plant
aubergine;is alive
aubergine;is chopped
aubergine;is dark
aubergine;is fried
aubergine;is grown
avocado;is green
avocado;has a stone
avocado;is a fruit
avocado;has skin_peel
avocado;is soft
avocado;is eaten in salad
avocado;is eaten_edible
avocado;is tasty
avocado;has flesh
avocado;has hard_tough skin
avocado;has a big stone
avocado;is a vegetable
avocado;does make guacomole
avocado;is fatty_fattening
avocado;is healthy
avocado;does grow
avocado;does grow on trees
avocado;is food
avocado;is not found in Britain
avocado;is pear shaped
avocado;is grown
avocado;is used in cooking
avocado;does go with chicken
avocado;does grow in hot countries
avocado;does ripen
avocado;has vitamins
avocado;is an ingredient
avocado;is black
avocado;is bumpy
avocado;is chopped
avocado;is disgusting_taste bad
avocado;is expensive
avocado;is mushy
avocado;is smooth
axe;made of metal
axe;made of wood
axe;is heavy
axe;does chop
axe;does cut_chop wood
axe;is sharp
axe;made of wood and metal
axe;has a handle_handles
axe;does cut
axe;is a weapon
axe;has a blade_blades
axe;is dangerous
axe;is a tool
axe;does cut down trees
axe;has a head
axe;has a wooden handle
axe;is swung
axe;is used by woodcutters
axe;does split
axe;has an edge
axe;has two blades
axe;is dense
axe;is old fashioned
axe;is powerful
axe;is shiny
axe;is useful
axe;made of stone
bacon;has fat
bacon;is pink
bacon;is fried
bacon;made of pig
bacon;is eaten_edible
bacon;is meat
bacon;is eaten for breakfast
bacon;is tasty
bacon;is smoked
bacon;is used in cooking
bacon;is pork
bacon;is streaky
bacon;is salty
bacon;is used for sandwiches
bacon;is a rasher
bacon;is food
bacon;is part of an English breakfast
bacon;does smell_is smelly
bacon;is grilled
bacon;is cured
bacon;is thin
bacon;is unhealthy
bacon;does smell good_nice
bacon;is crispy
bacon;is unsmoked
bacon;does go well with eggs
bacon;has a rind
bacon;has flesh
bacon;is quick to cook
bacon;is sliced
badge;has a pin
badge;made of plastic
badge;made of metal
badge;is worn
badge;is a symbol
badge;is attached to clothing
badge;is small
badge;is circular_round
badge;has a picture_pictures
badge;is for birthdays
badge;is decorative
badge;is pinned on
badge;has a logo
badge;is an accessory
badge;is an achievement
badge;is attached
badge;made of fabric_cloth_material
badge;has information
badge;has words
badge;is an identifier
badge;made of paper
badge;has a slogan
badge;has advertising
badge;is a brooch
badge;is an insignia for an organisation
badge;is colourful
badge;is flat
badge;is for children
badge;made of cardboard_card
badge;does attract attention
badge;does pierce
badge;does show membership
badge;has a catch
badge;has a cover
badge;has a crest
badge;has a message
badge;has a name
badge;is awarded
badge;is rectangular_square
badge;is sewn on
badge;is shiny
badge;is used in guides
badge;made of enamel
bag;made of plastic
bag;does carry
bag;has a handle_handles
bag;made of fabric_cloth_material
bag;made of leather
bag;is useful
bag;does contain_hold
bag;is used for shopping
bag;has a zip
bag;is big_large
bag;is fashionable
bag;is small
bag;is a container
bag;is any size
bag;is reusable
bag;has pockets
bag;is carried
bag;is for women_females_girls
bag;is worn on the shoulder
bag;made of paper
bag;does store
bag;has a strap_straps
bag;has compartments
bag;is a handbag
bag;is an accessory
bag;is disposable
bag;is handheld
bag;is unisex
bag;is worn
bag;made of cotton
bag;does hold books
bag;has an opening
bag;has space
bag;is any shape
bag;is durable
bag;is worn on the back
bag;made of canvas
bag;made of synthetic materials
bagpipes;is Scottish
bagpipes;has pipes
bagpipes;is noisy_loud
bagpipes;has a bag
bagpipes;is a musical instrument
bagpipes;made of fabric_cloth_material
bagpipes;is played_does play
bagpipes;has a bag of air
bagpipes;is traditional
bagpipes;does make sound_a noise
bagpipes;is hard to play
bagpipes;is tartan
bagpipes;does make music
bagpipes;is blown
bagpipes;made of wood
bagpipes;does sound terrible
bagpipes;has a mouthpiece
bagpipes;is a wind instrument
bagpipes;is annoying
bagpipes;is played by people in kilts
bagpipes;made of wood and fabric
bagpipes;does drone
bagpipes;does use lungs
bagpipes;has a distinctive sound
bagpipes;has a sharp sound
bagpipes;is for special occasions
bagpipes;is handheld
bagpipes;is unusual
bagpipes;is used in folk music
bagpipes;made of plastic
ball;is circular_round
ball;is bouncy
ball;is used in sport
ball;made of plastic
ball;made of leather
ball;made of rubber
ball;is spherical
ball;is kicked
ball;is thrown
ball;does roll
ball;is for football
ball;has air
ball;is entertaining_fun
ball;is caught
ball;is inflated
ball;is played with
ball;is used in tennis
ball;is a toy
ball;is for children
ball;is small
ball;is for cricket
ball;does come in colours
ball;is big_large
ball;is for basketball
ball;is for hockey
ball;is hard
ball;is hit
ball;has one surface
ball;is a beach ball
ball;is any size
ball;is black
ball;is black and white
ball;is used in baseball
ball;is used in rugby
ball;is used in squash
ball;is used in table tennis
ball;is white
ball;made of fabric_cloth_material
ball;made of foam
balloon;does float
balloon;made of rubber
balloon;is colourful
balloon;has air
balloon;has helium
balloon;does burst
balloon;is for parties
balloon;is circular_round
balloon;made of plastic
balloon;is inflated
balloon;is entertaining_fun
balloon;is for special occasions
balloon;is light
balloon;is on a string
balloon;is stretchy
balloon;is decorative
balloon;is for birthdays
balloon;is for children
balloon;is used to make shapes
balloon;has a knot_knots
balloon;is transport
balloon;has a hole
balloon;is bouncy
balloon;does bang
balloon;does deflate
balloon;does squeak
balloon;has a hole to blow in air
balloon;is a hot air balloon
balloon;is a toy
balloon;is found at children's parties
balloon;is fragile_delicate
balloon;is red
balloon;is smooth
balloon;is soft
balloon;is used to fly
banana;is yellow
banana;has skin_peel
banana;is a fruit
banana;is curved
banana;does grow
banana;is eaten_edible
banana;does grow on trees
banana;is eaten by monkeys
banana;has potassium
banana;is healthy
banana;does grow in hot countries
banana;is green
banana;is peeled
banana;is soft
banana;is tasty
banana;has inedible skin
banana;has pips_seeds
banana;is a source of energy
banana;is long
banana;is squashy_squidgy_squishy
banana;has flesh
banana;is black
banana;is in bunches
banana;is sweet
banana;does bruise
banana;has thick skin
banana;is brown
banana;is eaten by athletes
banana;is phallic
banana;is smooth
banana;is used to make banana bread
banjo;has strings
banjo;made of wood
banjo;is a musical instrument
banjo;is like a guitar
banjo;is played_does play
banjo;does make music
banjo;is circular_round
banjo;does make sound_a noise
banjo;has a neck
banjo;is strummed
banjo;has a body
banjo;is a string instrument
banjo;is plucked
banjo;is small
banjo;is used in country music
banjo;does twang
banjo;has four strings
banjo;is American
banjo;is entertaining_fun
banjo;is high pitched
banjo;is hollow
banjo;is round with a long neck
banjo;is used in folk music
banjo;made of metal
banjo;does accompany songs
banjo;has a resonance chamber
banjo;has frets
banjo;has metal strings
banjo;is noisy_loud
banjo;is traditional
barge;is a boat
barge;is long
barge;does carry_transport goods
barge;does carry_transport
barge;is found on canals
barge;does float
barge;made of wood
barge;made of metal
barge;is big_large
barge;is found on water
barge;has an engine
barge;is pulled
barge;is thin
barge;is painted
barge;is pulled by horses
barge;has a flat bottom
barge;has windows
barge;is a home
barge;is lived in
barge;has a rudder
barge;has rooms
barge;is for leisure_pleasure
barge;is found on rivers
barge;is heavy
barge;is old fashioned
barge;is slow
barge;is towed
barge;does carry_transport people
barge;does store
barge;has a seat_seats
barge;is long and thin
barge;is moored
barge;is not for passengers
barge;is transport
barge;is ugly
barge;is watertight_waterproof
barrel;made of wood
barrel;is circular_round
barrel;does store
barrel;does contain_hold
barrel;does store beer
barrel;made of metal
barrel;is cylindrical
barrel;does hold_contain liquid_water
barrel;does roll
barrel;has a lid
barrel;is big_large
barrel;does store alcohol
barrel;has metal bands
barrel;is found in pubs
barrel;is heavy
barrel;does carry_transport
barrel;is a container
barrel;is found on boats_ships
barrel;has a flat bottom
barrel;is curved
barrel;does contain wine
barrel;has a base
barrel;has a stopper
barrel;is brown
barrel;is found in cellars
barrel;is hollow
barrel;is used to describe laughter
barrel;is useful
barrel;is wide in middle
basin;has taps
basin;is used to wash
basin;does hold_contain liquid_water
basin;made of ceramic_china_clay_porcelain
basin;is found in bathrooms
basin;is a sink
basin;has a plug
basin;is circular_round
basin;has a plughole
basin;made of metal
basin;has a drain
basin;is for washing hands
basin;is white
basin;made of plastic
basin;is a bowl
basin;is a container
basin;had pipes
basin;is found in kitchens
basin;has plumbing
basin;has two taps
basin;is big_large
basin;is cold
basin;is filled
basin;is attached to wall
basin;is for cleaning teeth
basin;is found in bedrooms
basin;is found in buildings
basin;is found in the toilet
basin;is shiny
basin;is smooth
basin;is used for cleaning
basin;is useful
basin;is watertight_waterproof
basin;made of steel
basin;made of stone
basket;has a handle_handles
basket;does carry
basket;made of wicker
basket;does contain_hold
basket;is found on bicycles
basket;made of metal
basket;is woven
basket;made of straw
basket;is light
basket;is used for shopping
basket;is useful
basket;made of plastic
basket;does store
basket;is old fashioned
basket;made of wood
basket;is brown
basket;is found in shops
basket;is used for picnics
basket;does contain flowers
basket;does hang
basket;has a lid
basket;is like a bag
basket;is rigid
basket;is strong
bat_(animal);has wings
bat_(animal);does fly
bat_(animal);is nocturnal
bat_(animal);is a mammal
bat_(animal);does eat
bat_(animal);is black
bat_(animal);does eat insects
bat_(animal);does hang upside down
bat_(animal);has fur_hair
bat_(animal);is small
bat_(animal);does use echolocation
bat_(animal);is blind
bat_(animal);has ears
bat_(animal);is an animal
bat_(animal);does eat fruit
bat_(animal);does live in caves
bat_(animal);has big ears
bat_(animal);has sonar
bat_(animal);has teeth
bat_(animal);does squeak
bat_(animal);does sleep
bat_(animal);has good hearing
bat_(animal);is vampire bat
bat_(animal);does carry disease
bat_(animal);has a nose
bat_(animal);is found in dark places
bat_(animal);made of bones
bat_(animal);does eat rodents_mice
bat_(animal);does hunt
bat_(animal);does live in groups
bat_(animal);does suck blood
bat_(animal);has a body
bat_(animal);has claws
bat_(animal);has sharp teeth
bat_(animal);has skin
bat_(animal);is cute
bat_(animal);is dark
bat_(animal);is fruit bat
bat_(animal);is like a flying mouse
bat_(animal);is mouse-like
bat_(animal);is scary
bat_(sporting);made of wood
bat_(sporting);does hit
bat_(sporting);does hit balls
bat_(sporting);has a handle_handles
bat_(sporting);is for cricket
bat_(sporting);is long
bat_(sporting);is used in baseball
bat_(sporting);is hard
bat_(sporting);is used in rounders
bat_(sporting);made of metal
bat_(sporting);does swing
bat_(sporting);made of plastic
bat_(sporting);is thin
bat_(sporting);is used in sport
bat_(sporting);is flat
bat_(sporting);has a grip_grips
bat_(sporting);is a weapon
bat_(sporting);is cylindrical
bat_(sporting);is handheld
bat_(sporting);is heavy
bat_(sporting);is long and thin
bat_(sporting);is strong
bat_(sporting);is used in table tennis
bat_(sporting);does hurt
bat_(sporting);does need care
bat_(sporting);has a blade_blades
bat_(sporting);has strings
bat_(sporting);is circular_round
bat_(sporting);is light
bat_(sporting);is rectangular_square
bat_(sporting);is used for softball
bat_(sporting);is used in tennis
bat_(sporting);made of fibre glass
bath;does hold_contain liquid_water
bath;has taps
bath;has a plug
bath;is found in bathrooms
bath;is used to wash
bath;made of metal
bath;made of plastic
bath;is filled
bath;is relaxing
bath;is used for cleaning
bath;has a plughole
bath;is white
bath;made of ceramic_china_clay_porcelain
bath;is big_large
bath;is hot
bath;made of enamel
bath;has bubbles
bath;has legs
bath;has sides
bath;is for one person
bath;is long
bath;does overflow
bath;has a drain
bath;has a rubber duck
bath;has a shower
bath;has feet
bath;has hot water
bath;is a container
bath;is a tub
bath;is bathed in
bath;is circular_round
bath;is cold
bath;is hard
bath;is instead of showers
bath;is smooth
bayonet;is sharp
bayonet;made of metal
bayonet;is a weapon
bayonet;is old fashioned
bayonet;is used in battle_war
bayonet;has a point
bayonet;is a gun
bayonet;is dangerous
bayonet;does kill
bayonet;does stab
bayonet;is attached to a gun
bayonet;is used by soldiers
bayonet;does hurt
bayonet;has a knife
bayonet;has a blade_blades
bayonet;is long
bayonet;made of wood
bayonet;is for hand to hand combat
bayonet;does kill people
bayonet;has attachment points
bayonet;is cruel
bayonet;made of wood and metal
bayonet;has a handle_handles
bayonet;has a sharp point
bayonet;is French
bayonet;is hard
bayonet;is shiny
bayonet;is the last resort
bayonet;is used in army_military
bean;is small
bean;is eaten_edible
bean;is green
bean;is circular_round
bean;is baked
bean;is food
bean;is grown
bean;is healthy
bean;is a vegetable
bean;is tasty
bean;is used in cooking
bean;does grow
bean;is a runner bean
bean;is a seed
bean;has protein
bean;does grow on plants
bean;is a broad bean
bean;is a pulse
bean;is long
bean;has varieties
bean;is a baked bean
bean;is for chilli
bean;is found in pods
bean;is in tomato sauce
bean;is kidney shaped
bean;does come in cans_tins
bean;has fibre
bean;is a kidney bean
bean;is boiled
bean;is brown
bean;is found in gardens
bean;is hard
bean;is thin
bean;does cause flatulence
bean;does grow in ground
bean;is a big seed
bean;is a butterbean
bean;is a green bean
bean;is coffee
bean;is dried
bean;is fresh
bean;is long and thin
bean;is soft
bean;is used in stews
bean;is white
bear;has fur_hair
bear;is big_large
bear;has claws
bear;has teeth
bear;is an animal
bear;does eat
bear;is a mammal
bear;is brown
bear;is found in forests_woods
bear;has cubs
bear;has paws
bear;does eat fish
bear;does hunt
bear;does growl
bear;does like honey
bear;has sharp teeth
bear;is a toy
bear;is black
bear;is scary
bear;has four legs
bear;has species
bear;is a carnivore_eats meat
bear;is dangerous
bear;is white
bear;has ears
bear;is aggressive
bear;is cuddly
bear;is grizzly
bear;is polar
bear;is wild
bear;does climb
bear;does eat anything
bear;does hibernate
bear;does kill
bear;has a mouth
bear;has eyes
bear;has legs
bear;is found in cold climates
bear;is powerful
bear;is warm
bear;made of bones
beaver;does build dams
beaver;does build
beaver;has a tail
beaver;has teeth
beaver;has big teeth
beaver;is an animal
beaver;does chew wood
beaver;has a flat tail
beaver;has fur_hair
beaver;does swim
beaver;is brown
beaver;is a mammal
beaver;does gnaw
beaver;does live in rivers
beaver;does live in water
beaver;is a rodent
beaver;does chew
beaver;has a big tail
beaver;is small
beaver;has big front teeth
beaver;has legs
beaver;is found in America
beaver;is in the Lion, Witch and Wardrobe
beaver;does live in a dam
beaver;has strong teeth
beaver;is cute
beaver;is found in Canada
beaver;does crawl
beaver;does eat
beaver;has eyes
beaver;has feet
beaver;has paws
beaver;has sharp teeth
beaver;has small paws
beaver;has waterproof fur
beaver;has webbed feet
beaver;has whiskers
beaver;is a herbivore
beaver;is clever_intelligent
beaver;is a hard worker
beaver;is not found in Britain
beaver;is ugly
bed;is for sleep
bed;is comfortable
bed;has a mattress
bed;has pillows
bed;has a duvet
bed;made of wood
bed;has a frame
bed;has sheets
bed;is soft
bed;is found in bedrooms
bed;made of metal
bed;has legs
bed;is warm
bed;is any size
bed;has four legs
bed;is furniture
bed;has a cover
bed;has posts
bed;is bouncy
bed;has a wooden frame
bed;has springs
bed;is long
bed;is rectangular_square
bed;made of fabric_cloth_material
bed;has a headboard
bed;has bedclothes
bed;is a bunk
bed;is cosy
bed;is for rest
bed;is used at night
bed;is used when sick
bee;is yellow
bee;has wings
bee;is an insect
bee;is black
bee;does make honey
bee;is yellow and black
bee;does fly
bee;does pollinate
bee;does sting
bee;is striped
bee;does buzz
bee;has a sting
bee;has legs
bee;is small
bee;does live in a hive
bee;does die after stinging
bee;has fur_hair
bee;has antenna
bee;has six legs
bee;does collect nectar
bee;has eyes
bee;is an animal
bee;is dangerous
bee;does pollinate flowers
bee;has black and yellow stripes
bee;is associated with summer
bee;is fluffy
bee;is scary
bee;does frighten children
bee;does like flowers
bee;does make sound_a noise
bee;does swarm
bee;is a bumble bee
bee;does dance
bee;does live in colonies
